Name,UMAP 1,UMAP 2
output/mlm_0_sim_cse_5/model,8.558915,10.451084
output/mlm_0_sim_cse_5/model,8.025766,8.222012
output/mlm_0_sim_cse_5/model,10.615154,3.442581
output/mlm_0_sim_cse_5/model,6.425584,10.4119005
output/mlm_0_sim_cse_5/model,6.579205,6.6287656
output/mlm_0_sim_cse_5/model,10.591905,8.697571
output/mlm_0_sim_cse_5/model,11.094048,7.3193307
output/mlm_0_sim_cse_5/model,6.7989287,9.599685
output/mlm_0_sim_cse_5/model,6.2388926,10.201772
output/mlm_0_sim_cse_5/model,9.2439165,8.874393
output/mlm_0_sim_cse_5/model,5.8247976,7.6927953
output/mlm_0_sim_cse_5/model,8.228918,8.400761
output/mlm_0_sim_cse_5/model,11.860796,8.877732
output/mlm_0_sim_cse_5/model,6.6564302,10.137238
output/mlm_0_sim_cse_5/model,5.4778733,6.7523456
output/mlm_0_sim_cse_5/model,10.488122,11.466908
output/mlm_0_sim_cse_5/model,8.496504,8.580967
output/mlm_0_sim_cse_5/model,6.362902,10.159672
output/mlm_0_sim_cse_5/model,9.382397,8.444577
output/mlm_0_sim_cse_5/model,7.6720304,9.616921
output/mlm_0_sim_cse_5/model,6.9693985,7.929307
output/mlm_0_sim_cse_5/model,7.619333,9.620672
output/mlm_0_sim_cse_5/model,6.7412276,7.761185
output/mlm_0_sim_cse_5/model,8.165778,7.438497
output/mlm_0_sim_cse_5/model,10.238881,8.295197
output/mlm_0_sim_cse_5/model,8.623273,6.711153
output/mlm_0_sim_cse_5/model,6.747727,10.527564
output/mlm_0_sim_cse_5/model,8.786877,8.376199
output/mlm_0_sim_cse_5/model,7.0375395,8.006623
output/mlm_0_sim_cse_5/model,7.1722417,8.963546
output/mlm_0_sim_cse_5/model,8.459825,8.174775
output/mlm_0_sim_cse_5/model,9.108495,8.471619
output/mlm_0_sim_cse_5/model,6.4202323,6.8920865
output/mlm_0_sim_cse_5/model,7.633197,9.496332
output/mlm_0_sim_cse_5/model,8.809028,7.3629036
output/mlm_0_sim_cse_5/model,6.192323,10.473048
output/mlm_0_sim_cse_5/model,8.478402,7.940639
output/mlm_0_sim_cse_5/model,8.201778,9.023781
output/mlm_0_sim_cse_5/model,6.7860923,9.095003
output/mlm_0_sim_cse_5/model,7.915151,8.706777
output/mlm_0_sim_cse_5/model,6.0106177,9.639522
output/mlm_0_sim_cse_5/model,8.997395,8.258267
output/mlm_0_sim_cse_5/model,9.304485,7.9155607
output/mlm_0_sim_cse_5/model,7.6797132,7.850128
